Package,Used Methods/Functions
Devise,"devise :database_authenticatable, :registerable, :recoverable, :rememberable, :validatable, :confirmable, :lockable; Devise::RegistrationsController hooks via routes"
Pundit,"include Pundit in ApplicationController, policy_scope in controllers, authorize calls for CRUD actions, rescue_from Pundit::NotAuthorizedError"
FriendlyId,"extend FriendlyId, friendly_id :title, use: %i[slugged finders], friendly finders in controller" 
Action Cable,"mount ActionCable.server, QuestUpdatesChannel stream_for current_user, broadcast_to in Quest model"
Action Text,"has_rich_text :summary, create action_text:install assets and css requirement"
ActiveModelSerializers,"QuestSerializer attributes, metadata method, user_display helper, renders referenced JSON in Api::V1::QuestsController"
Enumerize,"extend Enumerize in User and Quest models, enumerize :role/status with predicates and scopes"
PaperTrail,"has_paper_trail in Quest model to capture versions"
Prometheus Client,"PrometheusRegistry.ensure_registered!, Counter and Gauge for quest events, registry registration"
Resque/Resque Scheduler,"config.active_job.queue_adapter = :resque, Resque initializer, QuestImportJob enqueue, Resque.schedule dynamic"
HTTParty,"QuestImporter uses HTTParty.get to download remote CSV/XLSX sources"
SmarterCSV,"QuestImporter.process CSV sources to symbolized hashes"
Roo,"QuestImporter.open spreadsheet files for XLS/XLSX, parse headers and rows"
Simple Form,"simple_form_with in views for import form and quest form, simple_form initializer installed"
Oj,"Quest metadata_hash uses Oj.load and Oj.dump for JSON serialization"
Rails Controllers","standard RESTful actions, before_action set_quest, strong params, import action scheduling job"
ActiveRecord,"Quest and User models with validations, associations, scopes, migrations for schema, seeds"
ActionMailer,"config.action_mailer.default_url_options set for Devise email links"
ActiveJob,"QuestImportJob job definition, queue_adapter Resque"
FriendlyId Slugs,"generated migration create_friendly_id_slugs"
CSV/Roo Dependencies,"db/quests_seed.csv used with importer"
